
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. sb, 1451, 2841, 239, 0, 0, 1, 0, 4, 26
.	. Memory, 1123, 2410, 148, 0, 0, 1, 0, 0, 0
.	.	. Timestamp, 71, 14, 32, 0, 0, 0, 0, 0, 0
.	.	. ram, 546, 1619, 0, 0, 0, 1, 0, 0, 0
.	.	. spi_master_2_32, 41, 56, 40, 0, 0, 0, 0, 0, 0
.	. STAMP, 328, 388, 91, 0, 0, 0, 0, 0, 0
.	.	. spi_master_1_16, 93, 83, 39, 0, 0, 0, 0, 0, 0
.	. sb_sb, 0, 43, 0, 0, 0, 0, 0, 2, 0
.	.	. CoreAPB3, 0, 43, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 40, 0, 0, 0, 0, 0, 0, 0
.	.	. sb_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. sb_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. sb_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
